"날짜","종가","시가","고가","저가","거래량","변동 %"
"2007- 11- 04","10,867.00","10,539.00","10,867.00","10,539.00","","3.02%"
"2007- 10- 28","10,548.00","11,033.00","11,033.00","10,548.00","","-4.33%"
"2007- 10- 21","11,025.00","10,853.00","11,025.00","10,853.00","","2.10%"
"2007- 10- 14","10,798.00","10,756.00","10,798.00","10,724.00","","0.96%"
"2007- 10- 07","10,695.00","9,665.00","10,695.00","9,665.00","","12.17%"
"2007- 09- 30","9,535.00","9,537.00","9,566.00","9,513.00","","0.64%"
"2007- 09- 23","9,474.00","9,082.00","9,474.00","9,082.00","","5.78%"
"2007- 09- 16","8,956.00","8,296.00","8,956.00","8,296.00","","7.88%"
"2007- 09- 09","8,302.00","8,477.00","8,477.00","8,302.00","","-1.28%"
"2007- 09- 02","8,410.00","7,783.00","8,410.00","7,783.00","","9.19%"
"2007- 08- 26","7,702.00","7,381.00","7,702.00","7,381.00","","5.84%"
"2007- 08- 19","7,277.00","7,289.00","7,289.00","7,211.00","","-0.49%"
"2007- 08- 12","7,313.00","7,066.00","7,319.00","7,066.00","","4.31%"
"2007- 08- 05","7,011.00","6,990.00","7,011.00","6,917.00","","0.06%"
"2007- 07- 29","7,007.00","6,936.00","7,007.00","6,936.00","","1.70%"
"2007- 07- 22","6,890.00","6,659.00","6,890.00","6,659.00","","4.38%"
"2007- 07- 15","6,601.00","6,692.00","6,692.00","6,567.00","","-1.57%"
"2007- 07- 08","6,706.00","6,220.00","6,706.00","6,220.00","","8.14%"
"2007- 07- 01","6,201.00","6,304.00","6,304.00","6,201.00","","-1.23%"
"2007- 06- 24","6,278.00","6,038.00","6,278.00","6,038.00","","6.01%"
"2007- 06- 17","5,922.00","5,254.00","5,922.00","5,254.00","","12.63%"
"2007- 06- 10","5,258.00","5,661.00","5,661.00","5,258.00","","-8.33%"
"2007- 06- 03","5,736.00","6,011.00","6,023.00","5,736.00","","-4.13%"
"2007- 05- 27","5,983.00","6,123.00","6,123.00","5,971.00","","-3.69%"
"2007- 05- 20","6,212.00","6,521.00","6,521.00","6,212.00","","-5.22%"
"2007- 05- 13","6,554.00","6,685.00","6,688.00","6,554.00","","-1.41%"
"2007- 05- 06","6,648.00","6,395.00","6,648.00","6,395.00","","5.17%"
"2007- 04- 29","6,321.00","6,248.00","6,321.00","6,248.00","","1.46%"
"2007- 04- 22","6,230.00","5,922.00","6,230.00","5,922.00","","6.50%"
"2007- 04- 15","5,850.00","5,562.00","5,850.00","5,562.00","","5.35%"
"2007- 04- 08","5,553.00","5,552.00","5,556.00","5,546.00","","0.38%"
"2007- 04- 01","5,532.00","5,417.00","5,532.00","5,417.00","","2.67%"
"2007- 03- 25","5,388.00","5,357.00","5,388.00","5,355.00","","1.09%"
"2007- 03- 18","5,330.00","5,123.00","5,330.00","5,123.00","","4.80%"
"2007- 03- 11","5,086.00","5,041.00","5,086.00","5,041.00","","1.72%"
"2007- 03- 04","5,000.00","4,908.00","5,000.00","4,908.00","","2.63%"
"2007- 02- 25","4,872.00","4,609.00","4,872.00","4,609.00","","7.19%"
"2007- 02- 18","4,545.00","4,355.00","4,545.00","4,355.00","","4.36%"
"2007- 02- 11","4,355.00","4,348.00","4,366.00","4,348.00","","0.62%"
"2007- 02- 04","4,328.00","4,265.00","4,328.00","4,265.00","","2.00%"
"2007- 01- 28","4,243.00","4,343.00","4,343.00","4,219.00","","-2.84%"
"2007- 01- 21","4,367.00","4,340.00","4,385.00","4,340.00","","0.11%"
"2007- 01- 14","4,362.00","4,629.00","4,629.00","4,362.00","","-6.03%"
"2007- 01- 07","4,642.00","4,579.00","4,647.00","4,579.00","","2.27%"
"2006- 12- 31","4,539.00","4,421.00","4,539.00","4,421.00","","3.23%"
"2006- 12- 17","4,397.00","4,324.00","4,397.00","4,324.00","","1.83%"
"2006- 12- 10","4,318.00","4,275.00","4,318.00","4,270.00","","0.56%"
"2006- 12- 03","4,294.00","4,400.00","4,407.00","4,294.00","","-1.72%"
"2006- 11- 26","4,369.00","4,208.00","4,369.00","4,208.00","","4.40%"
"2006- 11- 19","4,185.00","4,137.00","4,185.00","4,137.00","","1.36%"
"2006- 11- 12","4,129.00","4,180.00","4,180.00","4,121.00","","-1.92%"
"2006- 11- 05","4,210.00","4,214.00","4,256.00","4,210.00","","0.53%"
"2006- 10- 29","4,188.00","4,006.00","4,188.00","4,006.00","","5.17%"
"2006- 10- 22","3,982.00","3,996.00","3,996.00","3,955.00","","-0.87%"
"2006- 10- 15","4,017.00","4,182.00","4,182.00","4,017.00","","-3.65%"
