,Dow Jones,S&P500,GDP,CPI,Inflation,BDI,BDI_return,BDI_vol,30_yield,3m_yield,7_yield
2016-02-12,15973.83984375,1864.780029296875,18611.67253846154,212.14244827586208,0.9893375955172414,315.0,0.07924937165414048,0.07046901962820656,260.0,30.0,150.0
2016-02-19,16391.990234375,1917.780029296875,18625.962461538464,212.44755172413792,0.9088017844827586,327.0,0.03738753207162041,0.029600790641739826,261.0,31.0,153.0
2016-02-26,16639.970703125,1948.050048828125,18640.252384615385,212.7526551724138,0.8282659734482758,349.0,0.06511175130517374,0.019603983423142755,263.0,33.0,155.0
2016-03-04,17006.76953125,1999.989990234375,18654.542307692307,213.14938709677418,0.87006022,388.0,0.10593341742084628,0.028865276929721424,270.0,29.0,169.0
2016-03-11,17213.310546875,2022.18994140625,18668.832230769232,213.66829032258065,1.0749612100000001,395.0,0.017880425277848364,0.06226286784807793,275.0,33.0,179.0
2016-03-18,17602.30078125,2049.580078125,18683.122153846154,214.18719354838709,1.2798622000000002,406.0,0.0274673947006107,0.006779011089848442,268.0,30.0,166.0
2016-03-25,17515.73046875,2035.93994140625,18697.41207692308,214.70609677419355,1.4847631900000002,450.0,0.10289442316263288,0.05333496331024463,267.0,30.0,170.0
2016-04-01,17792.75,2072.780029296875,18711.702,215.225,1.68966418,539.0,0.18046798814463175,0.054852793839584614,262.0,23.0,156.0
2016-04-08,17576.9609375,2047.5999755859375,18725.620230769233,217.02633333333333,1.6827710396666666,635.0,0.16390942798369448,0.01170867017647407,255.0,23.0,147.0
2016-04-15,17897.4609375,2080.72998046875,18739.53846153846,218.82766666666666,1.6758778993333334,688.0,0.080163839040652,0.05921707383608465,256.0,22.0,152.0
2016-04-22,18003.75,2091.580078125,18753.456692307693,220.629,1.668984759,703.0,0.02156805387732117,0.041433477037938954,270.0,23.0,167.0
2016-04-29,17773.640625,2065.300048828125,18767.374923076924,222.43033333333332,1.6620916186666668,631.0,-0.10805102926945173,0.09165453266426514,266.0,22.0,160.0
2016-05-06,17740.630859375,2057.139892578125,18781.293153846153,224.16129032258064,1.598999520967742,600.0,-0.05037620732506684,0.04078225770059937,262.0,19.0,155.0
2016-05-13,17535.3203125,2046.6099853515625,18795.211384615384,225.86409677419354,1.5134278403225807,625.0,0.0408219945202552,0.06448686695684534,255.0,29.0,151.0
2016-05-20,17500.939453125,2052.320068359375,18809.129615384616,227.56690322580644,1.4278561596774193,606.0,-0.03087166366708703,0.05069507187233834,263.0,33.0,165.0
2016-05-27,17873.220703125,2099.06005859375,18823.047846153848,229.26970967741934,1.3422844790322581,610.0,0.0065789710980425605,0.02648159780216047,265.0,32.0,167.0
2016-06-03,17807.060546875,2099.1298828125,18836.966076923076,230.48513333333332,1.305626684,610.0,0.0,0.004652035076636707,252.0,30.0,150.0
2016-06-10,17865.33984375,2096.070068359375,18850.884307692308,230.4821,1.391253603,587.0,-0.03843413733926046,0.027177039141642965,244.0,26.0,144.0
2016-06-17,17675.16015625,2071.219970703125,18864.80253846154,230.47906666666668,1.476880522,609.0,0.036793447881800605,0.05319393564209949,243.0,27.0,141.0
2016-06-24,17400.75,2037.4100341796875,18878.720769230767,230.47603333333333,1.562507441,677.0,0.10585300520237804,0.0488324812871193,242.0,27.0,135.0
2016-07-01,17949.369140625,2102.949951171875,18892.639,230.473,1.64813436,703.0,0.03768561889838993,0.04820162111131086,224.0,28.0,127.0
2016-07-08,18146.740234375,2129.89990234375,18907.608347826088,230.214,1.6350268012903226,745.0,0.05802732656889453,0.01438375943472135,211.0,28.0,119.0
2016-07-15,18516.55078125,2161.739990234375,18922.577695652173,229.955,1.6219192425806452,718.0,-0.03691464933133535,0.06713411497830093,230.0,32.0,142.0
2016-07-22,18570.849609375,2175.030029296875,18937.547043478262,229.696,1.6088116838709678,656.0,-0.09030878010413518,0.03775535194500593,229.0,33.0,140.0
2016-07-29,18432.240234375,2173.60009765625,18952.516391304347,229.43699999999998,1.5957041251612902,636.0,-0.030962225603966925,0.04196435112712406,218.0,28.0,129.0
2016-08-05,18543.529296875,2182.8701171875,18967.485739130436,229.48845161290322,1.6512931341935484,671.0,0.05357057363155969,0.05977371557212035,232.0,28.0,141.0
2016-08-12,18576.470703125,2184.050048828125,18982.45508695652,229.77274193548388,1.758404569032258,683.0,0.01772572259910837,0.025346137235664222,223.0,29.0,136.0
2016-08-19,18552.5703125,2183.8701171875,18997.42443478261,230.0570322580645,1.865516003870968,720.0,0.05275635243931096,0.024770395909239275,229.0,30.0,143.0
2016-08-26,18395.400390625,2169.0400390625,19012.393782608695,230.34132258064517,1.9726274387096776,720.0,0.0,0.037304374560501743,229.0,34.0,149.0
2016-09-02,18491.9609375,2179.97998046875,19027.363130434784,230.8005,2.0537559106666667,804.0,0.11034805716886541,0.07802785951486431,228.0,33.0,147.0
2016-09-09,18085.44921875,2127.81005859375,19042.33247826087,232.309,1.9789866053333334,800.0,-0.004987541511039051,0.08155458393876946,239.0,35.0,151.0
2016-09-16,18123.80078125,2139.159912109375,19057.301826086958,233.8175,1.9042173,941.0,0.16233141191745235,0.11831236659032154,244.0,30.0,151.0
2016-09-23,18261.44921875,2164.68994140625,19072.271173913043,235.32600000000002,1.8294479946666669,875.0,-0.07271925322776518,0.16620591924659117,234.0,18.0,144.0
2016-09-30,18308.150390625,2168.27001953125,19087.24052173913,236.83450000000002,1.7546786893333333,921.0,0.05123614989769234,0.08764970611472211,232.0,29.0,142.0
2016-10-07,18240.490234375,2153.739990234375,19101.816282608695,236.98303225806453,1.774617581935484,892.0,-0.03199390367529748,0.05885253527997911,246.0,33.0,155.0
2016-10-14,18138.380859375,2132.97998046875,19116.326445652176,236.90490322580646,1.8103411741935485,842.0,-0.0576861183376827,0.018167139211468075,255.0,32.0,158.0
2016-10-21,18145.7109375,2141.159912109375,19130.836608695652,236.8267741935484,1.846064766451613,834.0,-0.00954661188358,0.03403977145666691,248.0,34.0,153.0
2016-10-28,18161.189453125,2126.409912109375,19145.346771739132,236.74864516129034,1.8817883587096775,855.0,0.024868066578013524,0.024334852512543467,262.0,30.0,163.0
2016-11-04,17888.279296875,2085.179931640625,19159.85693478261,237.3834,1.941154976,1045.0,0.20067069546215124,0.12431123103439493,256.0,38.0,155.0
2016-11-11,18847.66015625,2164.449951171875,19174.367097826085,238.96866666666668,2.0320456266666667,1257.0,0.18471104419133597,0.01128517763895561,294.0,48.0,192.0
2016-11-18,18867.9296875,2181.89990234375,19188.877260869565,240.55393333333333,2.1229362773333333,1181.0,-0.062366392392885155,0.17471013088689133,301.0,44.0,214.0
2016-11-25,19152.140625,2213.35009765625,19203.387423913042,242.1392,2.213826928,1198.0,0.014291962478032456,0.054205642563828906,301.0,49.0,218.0
2016-12-02,19170.419921875,2191.949951171875,19217.897586956522,243.72825806451613,2.2856363806451614,1090.0,-0.09447580345220524,0.076910424863781,308.0,49.0,220.0
2016-12-09,19756.849609375,2259.530029296875,19232.40775,245.34006451612902,2.2429586451612904,946.0,-0.14169040617131112,0.03338576575370604,316.0,54.0,226.0
2016-12-16,19843.41015625,2258.070068359375,19246.91791304348,246.95187096774194,2.2002809096774194,961.0,0.015731839918414283,0.11131433771966148,319.0,51.0,241.0
2016-12-23,19933.810546875,2263.7900390625,19261.428076086955,248.56367741935483,2.1576031741935484,961.0,0.015731839918414283,0.11131433771966148,312.0,52.0,235.0
2016-12-30,19762.599609375,2238.830078125,19275.938239130435,250.17548387096772,2.1149254387096774,963.0,0.0020790028278331553,0.009654013689174876,306.0,51.0,225.0
2017-01-06,19963.80078125,2276.97998046875,19288.89283333333,250.87245161290323,2.0769321080645162,910.0,-0.05660881228722987,0.04149855204088114,300.0,53.0,223.0
2017-01-13,19885.73046875,2274.639892578125,19301.2252,251.20348387096774,2.040812539354839,925.0,0.01634913800152941,0.051589061390650864,299.0,53.0,220.0
2017-01-20,19827.25,2271.31005859375,19313.557566666666,251.53451612903226,2.004692970645161,827.0,-0.11198904248873391,0.09074879770980725,305.0,50.0,228.0
2017-01-27,20093.779296875,2294.68994140625,19325.889933333332,251.86554838709677,1.968573401935484,752.0,-0.09506837107385144,0.011964721499685511,306.0,52.0,228.0
2017-02-03,20071.4609375,2297.419921875,19338.222299999998,251.9375,1.9113718885714286,702.0,-0.06880291992402876,0.01857247861895879,311.0,51.0,227.0
