"날짜","종가","시가","고가","저가","거래량","변동 %"
"2004- 08- 18","4,188.00","4,188.00","4,188.00","4,188.00","","0.19%"
"2004- 08- 17","4,180.00","4,180.00","4,180.00","4,180.00","","0.46%"
"2004- 08- 16","4,161.00","4,161.00","4,161.00","4,161.00","","0.31%"
"2004- 08- 13","4,148.00","4,148.00","4,148.00","4,148.00","","0.68%"
"2004- 08- 12","4,120.00","4,120.00","4,120.00","4,120.00","","0.54%"
"2004- 08- 11","4,098.00","4,098.00","4,098.00","4,098.00","","0.24%"
"2004- 08- 10","4,088.00","4,088.00","4,088.00","4,088.00","","-0.29%"
"2004- 08- 09","4,100.00","4,100.00","4,100.00","4,100.00","","-0.70%"
"2004- 08- 06","4,129.00","4,129.00","4,129.00","4,129.00","","-1.22%"
"2004- 08- 05","4,180.00","4,180.00","4,180.00","4,180.00","","-0.59%"
"2004- 08- 04","4,205.00","4,205.00","4,205.00","4,205.00","","0.67%"
"2004- 08- 03","4,177.00","4,177.00","4,177.00","4,177.00","","1.88%"
"2004- 08- 02","4,100.00","4,100.00","4,100.00","4,100.00","","1.28%"
"2004- 07- 30","4,048.00","4,048.00","4,048.00","4,048.00","","2.40%"
"2004- 07- 29","3,953.00","3,953.00","3,953.00","3,953.00","","1.96%"
"2004- 07- 28","3,877.00","3,877.00","3,877.00","3,877.00","","1.17%"
"2004- 07- 27","3,832.00","3,832.00","3,832.00","3,832.00","","0.47%"
"2004- 07- 26","3,814.00","3,814.00","3,814.00","3,814.00","","0.39%"
"2004- 07- 23","3,799.00","3,799.00","3,799.00","3,799.00","","-0.03%"
