"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 06- 20","76.18","73.33","76.21","72.98","1.13M","3.63%"
"2021- 06- 13","73.51","72.70","74.96","72.01","1.30M","1.13%"
"2021- 06- 06","72.69","71.82","73.09","70.71","1.40M","1.11%"
"2021- 05- 30","71.89","68.98","72.17","68.75","1.06M","3.25%"
"2021- 05- 23","69.63","66.72","69.92","66.46","652.78K","4.80%"
"2021- 05- 16","66.44","68.92","70.24","64.57","1.64M","-3.30%"
"2021- 05- 09","68.71","68.74","69.90","66.48","1.50M","0.63%"
"2021- 05- 02","68.28","66.70","69.95","66.10","1.22M","1.53%"
"2021- 04- 25","67.25","66.10","68.95","64.57","735.81K","1.72%"
"2021- 04- 18","66.11","66.70","68.08","64.58","1.21M","-0.99%"
"2021- 04- 11","66.77","63.03","67.38","62.41","1.28M","6.07%"
"2021- 04- 04","62.95","64.57","64.81","61.25","1.34M","-2.94%"
"2021- 03- 28","64.86","64.58","65.46","62.38","656.17K","0.45%"
"2021- 03- 21","64.57","64.53","65.12","60.27","1.23M","0.06%"
"2021- 03- 14","64.53","69.08","70.03","61.45","1.78M","-6.78%"
"2021- 03- 07","69.22","69.97","71.38","66.50","1.56M","-0.20%"
"2021- 02- 28","69.36","64.85","69.69","62.38","1.87M","4.88%"
"2021- 02- 21","66.13","62.68","67.70","62.55","700.39K","5.12%"
"2021- 02- 14","62.91","62.83","65.52","62.09","1.62M","0.77%"
"2021- 02- 07","62.43","59.43","62.83","59.43","1.39M","5.21%"
"2021- 01- 31","59.34","54.91","59.79","54.60","1.38M","6.19%"
"2021- 01- 24","55.88","55.26","56.59","55.07","636.30K","0.85%"
"2021- 01- 17","55.41","54.75","56.64","54.48","1.24M","0.56%"
"2021- 01- 10","55.10","56.24","57.42","54.64","1.54M","-1.59%"
"2021- 01- 03","55.99","51.50","56.36","50.56","1.86M","8.09%"
"2020- 12- 27","51.80","51.25","52.02","50.53","323.25K","0.99%"
"2020- 12- 20","51.29","52.22","52.32","49.20","762.16K","-1.86%"
"2020- 12- 13","52.26","50.05","52.48","49.13","1.13M","4.58%"
"2020- 12- 06","49.97","49.23","51.06","48.09","1.22M","1.46%"
"2020- 11- 29","49.25","47.91","49.92","46.82","1.09M","2.22%"
