,Dow Jones,S&P500,S&P500_return,GDP,CPI,Inflation,BDI,BDI_return,BDI_vol,30_yield,3m_yield,7_yield,cond_vol
1994-12-06,3745.62,453.29998779296875,-0.0004634047375124327,7500.440847826087,87.20322580645161,3.9005422322580645,2027.0,0.03872749489420746,0.011246482125283291,792.0,579.0,777.0,0.0358955061236645
1994-12-07,3745.62,453.29998779296875,-0.00415767760133122,7500.440847826087,87.20322580645161,3.9005422322580645,2027.0,0.03872749489420746,0.011246482125283291,792.0,579.0,777.0,0.0358955061236645
1994-12-08,3745.62,453.29998779296875,-0.012892177112272349,7500.440847826087,87.20322580645161,3.9005422322580645,2027.0,0.03872749489420746,0.011246482125283291,792.0,579.0,777.0,0.0358955061236645
1994-12-09,3691.11,446.9599914550781,0.0033840514625545705,7505.53875,87.22580645161291,3.853788758064516,2014.0,-0.006434073173492487,0.03193405102968844,786.0,582.0,777.0,0.0332221006572778
1994-12-12,3691.11,446.9599914550781,0.005600027544116495,7505.53875,87.22580645161291,3.853788758064516,2014.0,-0.006434073173492487,0.03193405102968844,786.0,582.0,777.0,0.0332221006572778
1994-12-13,3691.11,446.9599914550781,0.0015117334184946139,7505.53875,87.22580645161291,3.853788758064516,2014.0,-0.006434073173492487,0.03193405102968844,786.0,582.0,777.0,0.0332221006572778
1994-12-14,3691.11,446.9599914550781,0.010650638398673903,7505.53875,87.22580645161291,3.853788758064516,2014.0,-0.006434073173492487,0.03193405102968844,786.0,582.0,777.0,0.0332221006572778
1994-12-15,3691.11,446.9599914550781,0.0008128992069829323,7505.53875,87.22580645161291,3.853788758064516,2014.0,-0.006434073173492487,0.03193405102968844,786.0,582.0,777.0,0.0332221006572778
1994-12-16,3807.18,458.79998779296875,0.00756997404748851,7510.636652173913,87.2483870967742,3.8070352838709676,1976.0,-0.019048194970694474,0.008919531061514621,786.0,571.0,780.0,0.0374979755345377
1994-12-19,3807.18,458.79998779296875,-0.0019416923973144436,7510.636652173913,87.2483870967742,3.8070352838709676,1976.0,-0.019048194970694474,0.008919531061514621,786.0,571.0,780.0,0.0374979755345377
1994-12-20,3807.18,458.79998779296875,-0.0017704675610773996,7510.636652173913,87.2483870967742,3.8070352838709676,1976.0,-0.019048194970694474,0.008919531061514621,786.0,571.0,780.0,0.0374979755345377
1994-12-21,3807.18,458.79998779296875,0.005476073226534116,7510.636652173913,87.2483870967742,3.8070352838709676,1976.0,-0.019048194970694474,0.008919531061514621,786.0,571.0,780.0,0.0374979755345377
1994-12-22,3807.18,458.79998779296875,0.0001523073807555879,7510.636652173913,87.2483870967742,3.8070352838709676,1976.0,-0.019048194970694474,0.008919531061514621,786.0,571.0,780.0,0.0374979755345377
1994-12-23,3833.43,459.8299865722656,0.0003262474604951467,7515.734554347826,87.27096774193548,3.7602818096774193,1965.0,-0.005582354004451553,0.009521787461610032,785.0,568.0,786.0,0.0348319493261176
1994-12-27,3833.43,459.8299865722656,0.0057248658651522615,7515.734554347826,87.27096774193548,3.7602818096774193,1965.0,-0.005582354004451553,0.009521787461610032,785.0,568.0,786.0,0.0348319493261176
1994-12-28,3833.43,459.8299865722656,-0.0034874151696881062,7515.734554347826,87.27096774193548,3.7602818096774193,1965.0,-0.005582354004451553,0.009521787461610032,785.0,568.0,786.0,0.0348319493261176
1994-12-29,3833.43,459.8299865722656,0.000672490240591611,7515.734554347826,87.27096774193548,3.7602818096774193,1965.0,-0.005582354004451553,0.009521787461610032,785.0,568.0,786.0,0.0348319493261176
1994-12-30,3834.44,459.2699890136719,-0.004128519203416275,7520.832456521739,87.29354838709678,3.713528335483871,1983.0,0.009118604216434338,0.010395147247928503,789.0,568.0,784.0,0.0327902867771437
1995-01-03,3834.44,459.2699890136719,-0.00034844763212284814,7520.832456521739,87.29354838709678,3.713528335483871,1983.0,0.009118604216434338,0.010395147247928503,789.0,568.0,784.0,0.0327902867771437
1995-01-04,3834.44,459.2699890136719,0.003478958399729075,7520.832456521739,87.29354838709678,3.713528335483871,1983.0,0.009118604216434338,0.010395147247928503,789.0,568.0,784.0,0.0327902867771437
1995-01-05,3834.44,459.2699890136719,-0.0008034203181007605,7520.832456521739,87.29354838709678,3.713528335483871,1983.0,0.009118604216434338,0.010395147247928503,789.0,568.0,784.0,0.0327902867771437
1995-01-06,3867.41,460.67999267578125,0.0007383039616736748,7525.550555555556,87.23548387096774,3.678161329032258,2060.0,0.038095133263830724,0.02048950018466287,787.0,590.0,789.0,0.0340310792851374
1995-01-09,3867.41,460.67999267578125,0.00032553938901753305,7525.550555555556,87.23548387096774,3.678161329032258,2060.0,0.038095133263830724,0.02048950018466287,787.0,590.0,789.0,0.0340310792851374
1995-01-10,3867.41,460.67999267578125,0.0018428122474234742,7525.550555555556,87.23548387096774,3.678161329032258,2060.0,0.038095133263830724,0.02048950018466287,787.0,590.0,789.0,0.0340310792851374
1995-01-11,3867.41,460.67999267578125,-4.3297190101787694e-05,7525.550555555556,87.23548387096774,3.678161329032258,2060.0,0.038095133263830724,0.02048950018466287,787.0,590.0,789.0,0.0340310792851374
1995-01-12,3867.41,460.67999267578125,-4.329906482961827e-05,7525.550555555556,87.23548387096774,3.678161329032258,2060.0,0.038095133263830724,0.02048950018466287,787.0,590.0,789.0,0.0340310792851374
1995-01-13,3908.45,465.9700012207031,0.009335858707109856,7530.116733333333,87.14516129032258,3.647348909677419,2059.0,-0.00048555475583733767,0.027280666121549828,780.0,572.0,771.0,0.0318018144573546
1995-01-16,3908.45,465.9700012207031,0.007291428337115885,7530.116733333333,87.14516129032258,3.647348909677419,2059.0,-0.00048555475583733767,0.027280666121549828,780.0,572.0,771.0,0.0318018144573546
1995-01-17,3908.45,465.9700012207031,0.0014263607271857593,7530.116733333333,87.14516129032258,3.647348909677419,2059.0,-0.00048555475583733767,0.027280666121549828,780.0,572.0,771.0,0.0318018144573546
