,return,Dow Jones,S&P500,GDP,CPI,Inflation,BDI,30_yield,3m_yield,7_yield
2019-10-11,0.20453211424475987,1.1309825579189958,0.9008164746779245,1.0119797732336444,0.12171419583458791,-0.4192441392518898,-0.21014047052715362,-1.3559850122421273,0.07959189551963879,-0.9269540918879647
2019-10-18,-0.3952902063492902,1.1254695872542848,0.9155693063901991,1.0087482742486793,0.13193483466831507,-0.428885621177555,-0.2376632124315571,-1.329690627189806,0.06804448788093992,-0.9427554507319788
2019-10-25,-0.43546062061388124,1.147794658127695,0.949233410263677,1.005516775263716,0.1421554735020429,-0.43852710310322024,-0.29066997461781563,-1.294631447120044,0.06804448788093992,-0.9032520536219436
2019-11-01,-0.47967964867090246,1.1940581654475368,0.9903154194355704,1.0022852762787502,0.1523761123357701,-0.4481685850288858,-0.453258024016051,-1.3647498072595676,-0.012787365589952127,-0.9664574889979999
2019-11-08,-0.46208246833302474,1.233735910320405,1.014551810640552,0.9990537772937851,0.17394466368446979,-0.44580226034993803,-0.46396131253443007,-1.1719243168758777,0.00453374586809617,-0.7847418622918381
2019-11-15,-0.4572140531067479,1.2721978864015189,1.0399085298372934,0.9958222783088209,0.19551321503317018,-0.44343593567099054,-0.5011679821459385,-1.277101857085163,0.016081153506795034,-0.8716493359339155
2019-11-22,-0.42321750106820966,1.2568355173637438,1.0304900872894152,0.9925907793238566,0.21708176638186988,-0.4410696109920428,-0.37680596317048576,-1.3559850122421273,0.021854857326144467,-0.9032520536219436
2019-11-29,-0.3632762416844208,1.2777261760315326,1.0589122771041737,0.9893592803388916,0.23865031773056958,-0.438703286313095,-0.3615155510013727,-1.3647498072595676,0.027628561145493898,-0.8874506947779296
2019-12-06,-0.29501443849034503,1.2734064599216919,1.0634779245587855,0.9861277813539265,0.226962893288327,-0.41448655763694425,-0.4649806733457043,-1.294631447120044,-0.0070136617706026945,-0.8479472976678943
2019-12-13,-0.29600191118005,1.2877050892930655,1.0846766555076037,0.9828962823689615,0.20197307852970764,-0.38152966736191213,-0.5832265274535118,-1.3209258321723654,0.016081153506795034,-0.8637486565119085
2019-12-20,-0.3126205167441121,1.3256986764047707,1.1332231466815053,0.9796647833839973,0.17698326377108758,-0.34857277708687967,-0.6000459808395361,-1.2508074720328417,0.021854857326144467,-0.8005432211358522
2019-12-27,-0.36795462011286845,1.3482980960204212,1.1506340159056114,0.9764332843990331,0.15199344901246822,-0.31561588681184755,-0.6933174950711257,-1.2683370620677228,0.016081153506795034,-0.8321459388238803
2020-01-03,-0.46165709556521267,1.3470646872080148,1.145846111656671,0.9655789531113659,0.12334061188448867,-0.30732547866046744,-0.7611049890208601,-1.3209258321723654,-0.012787365589952127,-0.9032520536219436
2020-01-10,-0.42255776647356647,1.369511845592777,1.1740923952801905,0.935667541066943,0.08553021883311032,-0.36070127581821776,-0.7712985971336022,-1.3033962421374845,-0.0012399579512532627,-0.8795500153559225
2020-01-17,-0.41229510275634346,1.431822201172785,1.2336133526627755,0.9057561290225234,0.04771982578173199,-0.4140770729759681,-0.8717056370441112,-1.294631447120044,0.010307449687445602,-0.8795500153559225
2020-01-24,-0.37549698489659106,1.3892343171034638,1.2019866404207296,0.8758447169781014,0.009909432730353652,-0.4674528701337184,-0.9073832654387082,-1.426103372381651,-0.0012399579512532627,-0.982258847842014
2020-01-31,-0.32057839795826715,1.3020427123943004,1.1372054548386923,0.8459333049336795,-0.027900960321024685,-0.5208286672914684,-0.9440802546445796,-1.5575752976432578,0.00453374586809617,-1.1323717568601477
2020-02-07,-0.3318857678264486,1.4026367870046264,1.2318443423282595,0.8160218928892582,-0.0888367957351259,-0.7416494335630507,-0.9389834505882085,-1.504986527538615,0.010307449687445602,-1.0612656420620843
