,return,Inflation
2013-11-29,-0.48492264849233924,-0.1694531167803808
2013-12-06,-0.4793261848156758,-0.19234361761259738
2013-12-13,-0.48994558826094514,-0.2940020128784822
2013-12-20,-0.4956786161515211,-0.39566040814436565
2013-12-27,-0.5155383831219498,-0.4973188034102494
2014-01-03,-0.5096889836323372,-0.5752592523029894
2014-01-10,-0.4924157210784682,-0.593904835262871
2014-01-17,-0.48114451272439085,-0.6125504182227524
2014-01-24,-0.46934651753980255,-0.631196001182633
2014-01-31,-0.46230988327556366,-0.6498415841425139
2014-02-07,-0.4997067196274273,-0.7761781710956389
2014-02-14,-0.5073260058528657,-0.9204632587143041
2014-02-21,-0.5039023634764938,-1.0647483463329697
2014-02-28,-0.5185919395027532,-1.2090334339516349
2014-03-07,-0.4926090062510353,-1.0974570365985161
2014-03-14,-0.4776191393451453,-0.9432370584167669
2014-03-21,-0.4704334642956816,-0.7890170802350174
2014-03-28,-0.47316932010819207,-0.6347971020532679
2014-04-04,-0.4980417532604081,-0.528495640531884
2014-04-11,-0.5080116971504599,-0.48608553455765435
2014-04-18,-0.5260405297348665,-0.4436754285834244
2014-04-25,-0.515018848788858,-0.40126532260919473
2014-05-02,-0.5126229257480642,-0.37720346083544687
2014-05-09,-0.5290824760095191,-0.46323106426459
2014-05-16,-0.5290141157381963,-0.5492586676937334
2014-05-23,-0.5371045416884844,-0.6352862711228765
2014-05-30,-0.5408136869651744,-0.7213138745520197
2014-06-06,-0.5442633266982524,-0.6584778923034466
2014-06-13,-0.5350758333818212,-0.5360964757837882
2014-06-20,-0.5347180923418535,-0.41371505926412905
2014-06-27,-0.5417446973258672,-0.29133364274447066
2014-07-04,-0.5463232892339704,-0.22947161199192778
2014-07-11,-0.5496991797992782,-0.24830209559553867
2014-07-18,-0.5355581800543101,-0.26713257919914996
2014-07-25,-0.5147195481549949,-0.2859630628027619
2014-08-01,-0.5014204627779935,-0.3047935464063735
2014-08-08,-0.49395032730654764,-0.19506067022046297
2014-08-15,-0.5113537136645232,-0.08532779403455173
2014-08-22,-0.47941772630725576,0.024405082151358087
2014-08-29,-0.4699111420229321,0.13413795833726933
2014-09-05,-0.39673940439816235,0.07345824488624716
2014-09-12,-0.37878242982809546,-0.11503091079247343
2014-09-19,-0.4046882969049098,-0.3035200664711947
2014-09-26,-0.4186388522646935,-0.49200922214991566
2014-10-03,-0.4306807118741892,-0.6552122602966536
2014-10-10,-0.4266990130536952,-0.7552000046134335
2014-10-17,-0.35846446080468525,-0.8551877489302131
2014-10-24,-0.3270738828958657,-0.9551754932469934
2014-10-31,-0.354589469039529,-1.0551632375637732
2014-11-07,-0.34221693846332113,-0.796936168592939
2014-11-14,-0.37627557919687526,-0.479006630740836
2014-11-21,-0.35624981958983604,-0.16107709288873298
2014-11-28,-0.22260271062327672,0.15685244496337006
2014-12-05,0.2653970800502478,0.034948635590933
2014-12-12,0.39754769027011644,-0.4168301841999098
2014-12-19,0.5094116427598101,-0.8686090039907522
2014-12-26,0.6784766883476522,-1.3203878237815947
2015-01-02,0.10687088969396717,-1.7346966739636067
2015-01-09,0.18635025360073884,-1.9241857064926375
2015-01-16,0.2568233028227811,-2.1136747390216684
2015-01-23,0.42590317787617266,-2.3031637715506985
2015-01-30,0.4681379441778987,-2.4926528040797296
2015-02-06,1.027443142936954,-2.4300237198042147
2015-02-13,1.259744041307876,-2.2665473888068814
2015-02-20,1.0153310486466096,-2.103071057809548
2015-02-27,1.0178130178693734,-1.9395947268122153
2015-03-06,0.526103822805805,-1.6917673443921875
2015-03-13,0.09671128279247815,-1.4101995414030815
2015-03-20,0.03551810421952251,-1.1286317384139755
2015-03-27,0.12134216593228841,-0.8470639354248694
2015-04-03,0.20292336697570257,-0.634094148961554
2015-04-10,0.5364105372495052,-0.5926194038127139
2015-04-17,0.5777075961280044,-0.5511446586638734
2015-04-24,0.49905515971557685,-0.5096699135150332
2015-05-01,0.25207822096820914,-0.46819516836619307
2015-05-08,-0.11424127955375087,-0.44250287176202635
2015-05-15,-0.2770102180473416,-0.4168105751578597
2015-05-22,-0.2939014720594946,-0.3911182785536933
2015-05-29,-0.22082913476626304,-0.36542598194952625
